ClientID,Nom,Prénom,Email,Téléphone,Adresse,Ville,CodePostal,Pays,DateNaissance,Âge,Sexe,NuméroCarteCrédit,TypeCarteCrédit,DateExpirationCarte,SoldeCompte,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,StatutCompte,TauxRemboursement,MontantTotalDepensé,AchatsSup5,CatégorieClient
d34f9cab-5d14-469f-aa80-c0146f3b93c7,0971aba7c51df5639ef9551c53ef283a,5447aa4026288039fccf95cf270282b3,0b8155d379c4242f54a0eae8e5bdd4e7@masked.com,masked,masked,Lauratown,45532,Antigua And Barbuda,1996-09-15,26-35,M,**** **** **** 8182,Diners Club / Carte Blanche,01,375.72,Entreprise,7,1157.99,2024-03-19,network,Sport,6,165.43,85,1,11.68,Neutre,True,Paypal,Inactif,0.010086442888107842,1146.31,True,Gros Acheteur
d9b374f9-8cec-4ae7-9137-c1d930d0aae0,410f8051a15a4c16e5cdfccb9dbf547b,96c11895e7dc02ef601772a3f77587ac,0cfca1a89777b3f7a8cd8f60e9ad23d5@masked.com,masked,masked,Herreraview,6486,Belize,2000-01-11,19-25,F,**** **** **** 0799,JCB 16 digit,01,342.52,Entreprise,3,213.04,2024-05-28,clear,Électronique,6,71.01,15,2,152.13,Satisfait,False,Carte bancaire,Actif,0.7140912504693955,60.91,False,Acheteur Régulier
72855e63-d98e-42e9-a10f-d9e4fac6e82f,78908e63501bc0a8ee6fc8ede8aeb2dc,2964815d03a032c8ca37ac5d557647dd,1da6cb87bc7edef7f3b2ce40aa0e36bf@masked.com,masked,masked,Lake Erictown,85092,Andorra,1961-06-07,56-65,F,**** **** **** 8098,VISA 19 digit,01,744.08,Entreprise,13,1357.54,2023-07-12,officer,Alimentation,9,104.43,10,5,342.6,Satisfait,False,Cryptomonnaie,Suspendu,0.2523682543424135,1014.9399999999999,True,Gros Acheteur
3fcb2796-9692-4fcf-affb-0100d9a74ae1,a97fedbce30ecfbc5f77f23789b0ee00,399423ff652ebb6a6701be7ec3202fc6,26c30f441474658f9708271a5c9a6410@masked.com,masked,masked,New Andrewton,87164,Samoa,1970-11-19,46-55,F,**** **** **** 9479,JCB 15 digit,01,2398.64,Particulier,5,806.13,2023-09-28,more,Alimentation,5,161.23,4,0,0.0,Mécontent,False,Virement,Actif,0.0,806.13,False,Bon Client
50b21cc8-6f68-45c5-9b75-335ef55b41b2,67d36db472159fcb8c55e03a052bcb74,464e07afc9e46359fb480839150595c5,f7b69e8fcfd3d8541503609c5289c145@masked.com,masked,masked,Rodriguezport,53640,Burkina Faso,1946-02-26,65+,M,**** **** **** 9637,JCB 16 digit,01,160.82,Particulier,9,785.47,2023-10-02,nor,Mode,1,87.27,6,0,0.0,Mécontent,True,Cryptomonnaie,Inactif,0.0,785.47,True,Bon Client
1149c70b-e75d-4398-a784-ff40152810db,e90dfb84e30edf611e326eeb04d680de,a36e5df6089966dca4b38397aae00efd,319fa7719406d68b73f0970f3335e3be@masked.com,masked,masked,Tarafurt,16900,San Marino,1941-04-11,65+,M,**** **** **** 7762,VISA 19 digit,01,2512.82,Entreprise,10,3798.2,2024-06-06,it,Électronique,0,379.82,74,2,127.06,Mécontent,False,Virement,Suspendu,0.033452688115423096,3671.14,True,Gros Acheteur
20dea61b-c087-482c-9a71-2def299ed020,af1b08e09ce26c7efdf3f0b3f5f2934b,79162b02a4adef009a7d8214aaaafec5,45f29f767328ebd7b42e5f295d0fc03a@masked.com,masked,masked,Smithhaven,50362,Angola,1984-11-22,36-45,F,**** **** **** 6896,Mastercard,01,4347.1,Particulier,7,128.7,2024-03-23,class,Alimentation,2,18.39,40,1,129.76,Très mécontent,True,Carte bancaire,Inactif,1.0082362082362082,-1.0600000000000023,True,Acheteur Régulier
3faa9f83-0a50-4657-96cc-401944b5708c,f30b7f25f10afc8546d3b1cef55f1f05,a36e5df6089966dca4b38397aae00efd,8b331ee87480bd11ff01e6ae60a6f9e9@masked.com,masked,masked,West Michael,2732,Norway,1977-04-26,46-55,F,**** **** **** 3380,JCB 16 digit,01,2376.39,Entreprise,18,625.4,2025-01-22,minute,Alimentation,0,34.74,37,2,50.33,Mécontent,True,Virement,Inactif,0.08047649504317236,575.0699999999999,True,Bon Client
cd0594c6-c289-4fd6-92ad-495772743f5a,d840538de0ba0c58268e54a9a49f29ab,82052cd94092c364ff8c58e83c220605,6402e280d39d1ba42b804c5df57ec3ce@masked.com,masked,masked,Bondborough,63792,Hong Kong,1949-01-23,65+,F,**** **** **** 6242,American Express,01,3866.9,Entreprise,2,793.93,2024-04-26,total,Maison,5,396.96,20,3,485.85,Neutre,True,Paypal,Actif,0.611955713979822,308.0799999999999,False,Bon Client
6bed1a9f-2ee0-402e-8907-9fad020e36f7,e98eb9274f78510a80da9ba5b42d7043,f1cd318e412b5f7226e5f377a9544ff7,3b8da6f23cbb9f792c532377c369a904@masked.com,masked,masked,Carpentertown,73481,Mali,1940-09-20,65+,F,**** **** **** 6180,VISA 13 digit,01,1497.79,Entreprise,14,962.35,2023-04-01,agent,Mode,2,68.74,15,2,305.03,Satisfait,True,Paypal,Inactif,0.3169636826518418,657.32,True,Bon Client
0c2cab59-6989-4832-aa97-84c398e67a5d,d7e8475ef7aa1e71bbf1322dffb4e759,75e066bda6af9685d43a83c7aeeac06a,42cd405cf56471e55e7a7d9b39451f73@masked.com,masked,masked,North Randyhaven,77860,Heard Island And Mcdonald Islands,1972-04-13,46-55,M,**** **** **** 2039,Diners Club / Carte Blanche,01,4967.86,Entreprise,2,667.91,2023-06-04,activity,Mode,1,333.95,47,1,85.98,Neutre,True,Carte bancaire,Actif,0.12872991870162148,581.93,False,Bon Client
79eb32ae-12ca-4009-b8ec-b558d039caf8,3f23f2f1566a04c819737e00229dbf8e,e1f6a14cd07069692017b53a8ae881f6,0a8365a7add95022f6c499fb18b18bf8@masked.com,masked,masked,Pughville,25709,Guatemala,2001-02-22,19-25,F,**** **** **** 3036,JCB 15 digit,01,3022.53,Entreprise,11,5489.59,2023-06-02,suddenly,Sport,2,499.05,55,4,262.75,Très mécontent,True,Virement,Actif,0.04786331948287577,5226.84,True,VIP
073fdfca-a8df-4e28-ae42-460761586770,81d6f316d169150d0e8733866c38684d,a3b7c57bad6565c9551b7ce616c1cbbb,6cafe9f6d56f371cad6fdad05707d73b@masked.com,masked,masked,West Craig,11743,Syrian Arab Republic,1934-12-28,65+,M,**** **** **** 6460,Maestro,01,691.03,Particulier,9,1570.28,2024-11-02,simply,Maison,0,174.48,27,4,152.13,Très satisfait,True,Paypal,Inactif,0.09688081106554244,1418.15,True,Gros Acheteur
ae2fe7cd-0387-4e2b-abb6-9e6bce679b74,280157701451bdb2de5d3356f3a213c2,f9dc77cece7fa16f6edd2d1d64853e4b,894cb581a293dd6a832afb06e530af45@masked.com,masked,masked,Suzannechester,6798,Saudi Arabia,1942-11-09,65+,F,**** **** **** 2852,VISA 13 digit,01,1737.97,Entreprise,1,385.85,2024-11-24,rule,Mode,3,385.85,4,3,426.82,Très mécontent,True,Paypal,Actif,1.106181158481275,-40.96999999999997,False,Acheteur Régulier
88dcb53d-58ba-4746-b942-91d07190a03c,0a4c05f844994e3018a1446c73b3fd49,ae7a9f31f296ffd4935056cfa158fa3a,803bbd592948b62b4254026c62ad5b8e@masked.com,masked,masked,Rodneyshire,10897,India,1992-09-26,26-35,M,**** **** **** 3600,Mastercard,01,1332.51,Particulier,6,1137.0,2023-05-17,morning,Alimentation,8,189.5,23,3,61.77,Très satisfait,False,Cryptomonnaie,Actif,0.05432717678100264,1075.23,True,Gros Acheteur
ad388d2e-a57a-4a60-b1d1-4fd15d27b74c,2fdf37bfea162c9bf056d9287d35c729,33d64f43250cf8f945b89b5e36f86519,dbe4057fa69390aba6983283cbb81699@masked.com,masked,masked,Whiteton,30256,Philippines,1971-02-02,46-55,F,**** **** **** 6174,VISA 16 digit,01,2281.71,Entreprise,17,688.51,2023-02-18,future,Maison,10,40.5,59,1,70.21,Très mécontent,True,Cryptomonnaie,Inactif,0.10197382754063121,618.3,True,Bon Client
1eedf4f2-9789-46f7-84ea-4329dc9ea314,dce0d99515076c6a24e246952d635fc7,22d5d814d801d8b3e1a1c3fc36796de9,061737fc48e44f0d29fe00ee6bce4831@masked.com,masked,masked,Nicoleburgh,16583,Tanzania,1958-07-03,65+,M,**** **** **** 4256,VISA 19 digit,01,2611.85,Particulier,0,0.0,2024-12-11,particularly,Électronique,0,0.0,10,1,92.94,Neutre,False,Virement,Actif,0.0,-92.94,False,Petit Acheteur
ef5c5f75-5404-4191-800f-a2bc3dac7412,9829b25a81a6f97335763c274b28525f,6aa8d4d501a7e1d67c6dbf8c8138b897,88391b4431d101f7e439449030b59052@masked.com,masked,masked,Lake Courtneyville,52789,Saint Barthelemy,1943-05-12,65+,M,**** **** **** 5669,VISA 16 digit,01,3900.78,Entreprise,4,1361.55,2024-03-06,tell,Sport,8,340.39,93,4,557.23,Satisfait,False,Virement,Suspendu,0.40926150343358675,804.3199999999999,False,Gros Acheteur
8ff58ece-b7ce-49fc-871d-be7f8ce6153b,b402b481bc0dbd51687430c586c7909a,58d910421727f25f448dd2ac04019226,62bb97e0bedb44bb47f05d39c380b8b2@masked.com,masked,masked,Michaelhaven,63558,Estonia,1959-10-28,65+,M,**** **** **** 0975,VISA 16 digit,01,4211.0,Entreprise,7,1007.26,2024-04-09,most,Mode,0,143.89,10,0,0.0,Mécontent,True,Paypal,Suspendu,0.0,1007.26,True,Gros Acheteur
4d9c9411-36aa-473d-8fee-308a0442f836,2a6707b6b439cbb234bd95047cc34a3b,54bd05568f5307e72e96392eaa0e766d,1aaee18e95c74df4c4ecc19010f2e409@masked.com,masked,masked,North Deborah,6684,Korea,1999-12-30,26-35,F,**** **** **** 2770,JCB 16 digit,01,3992.53,Particulier,10,189.46,2025-01-18,benefit,Sport,1,18.95,47,4,171.28,Mécontent,True,Carte bancaire,Actif,0.9040430697772617,18.180000000000007,True,Acheteur Régulier
3aba6036-972f-4f80-a101-962b2c5cbd18,53cfbe4334e1550bd5201dfffb627317,9dd5d0d80c6edf7f55faaa698ceff84a,dcca1c1d401ac21b195e1a22352b1621@masked.com,masked,masked,West Kari,41070,Estonia,1935-11-28,65+,F,**** **** **** 4175,JCB 16 digit,01,2081.04,Particulier,12,4446.76,2024-05-21,model,Mode,7,370.56,58,0,0.0,Très mécontent,False,Paypal,Suspendu,0.0,4446.76,True,Gros Acheteur
704ff9b0-05e2-4736-9018-810b5444a86c,3228635b89112e2c641f5e5cc44e19fe,6fd5ab146e72e4446bbb6aa069d6c81c,4f03b34079f0bd2e20a0537d78f3dbb7@masked.com,masked,masked,Walkermouth,48252,South Africa,1971-05-10,46-55,M,**** **** **** 8739,Maestro,01,2889.66,Entreprise,6,2646.88,2024-05-04,mind,Sport,9,441.15,5,3,373.93,Neutre,False,Paypal,Actif,0.1412719881520885,2272.9500000000003,True,Gros Acheteur
8eb4f315-9cde-4c7b-9a26-669447dadd4b,526664ec12dc5105f2c3171ca0909570,d0f59baadadd3349e4a9b2674bcceae8,e8468d73f9d3ca617424f3eb3bb1b0e7@masked.com,masked,masked,Raymondville,93796,Argentina,1966-08-22,56-65,M,**** **** **** 0887,Maestro,01,4154.3,Entreprise,16,888.55,2024-08-08,throw,Mode,6,55.53,54,2,174.84,Très mécontent,False,Virement,Suspendu,0.19677001856957968,713.7099999999999,True,Bon Client
379871e9-0b5e-4484-9250-103d06c0fb4a,c2a3b004d2be3825eed82e0bc93373ae,f455c402cdcd2021d2b2f4d0f2e91816,257c5ddce12da06f8e009b90a4c9b0b2@masked.com,masked,masked,West Emilytown,58636,Guatemala,1943-10-18,65+,M,**** **** **** 1715,American Express,01,3791.91,Entreprise,4,1851.99,2023-07-15,stay,Sport,6,463.0,26,1,31.86,Neutre,True,Carte bancaire,Inactif,0.017203116647498098,1820.13,False,Gros Acheteur
5717143e-d6a4-4087-9360-9e0e9dfa1cb2,c80907b6d4b64a0bd9295e304bf1ac8a,b82a9a13f4651e9abcbde90cd24ce2cb,211bdcf3e1e6c7d8b10826af7e508c4a@masked.com,masked,masked,Davidstad,54329,Sierra Leone,1968-06-21,56-65,M,**** **** **** 4560,Mastercard,01,3349.76,Entreprise,13,5072.03,2023-10-25,clear,Mode,3,390.16,93,0,0.0,Neutre,True,Paypal,Inactif,0.0,5072.03,True,VIP
749a31d6-501c-4f88-91b6-9173bbf2f385,fc76b14d577ff811b647a1ff7b60abbb,f1cd318e412b5f7226e5f377a9544ff7,6269ba12a8830bb20793560bde8b3504@masked.com,masked,masked,Smithborough,47109,Oman,1958-07-14,65+,F,**** **** **** 1624,VISA 13 digit,01,4819.3,Entreprise,13,784.89,2024-03-11,coach,Alimentation,8,60.38,47,3,22.21,Mécontent,True,Carte bancaire,Inactif,0.02829695880951471,762.68,True,Bon Client
422d18c5-601c-438b-9cb7-d867811c46f0,f73dde2d8c7879ae8d1fcdc03c4ffebc,6fd5ab146e72e4446bbb6aa069d6c81c,09d0a7138138dfcad0beb8692955c36b@masked.com,masked,masked,Johntown,63470,Uganda,2005-11-18,19-25,M,**** **** **** 9054,Diners Club / Carte Blanche,01,3588.26,Entreprise,17,6293.65,2024-09-05,stop,Maison,2,370.21,58,0,0.0,Très mécontent,True,Virement,Inactif,0.0,6293.65,True,VIP
